timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 12:52:20,190,317,97,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 12:53:47,190,317,97,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 12:59:29,189,317,97,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 13:14:41,189,317,98,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 13:16:35,189,317,98,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 13:19:56,188,316,98,171
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 13:20:52,188,318,97,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 13:21:04,188,318,97,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-04 15:45:22,200,313,100,170
timestamp,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-05 14:55:38,164,311,94,170
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-05 15:06:35,1,166,311,93,170
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-05 15:10:32,1,168,313,93,170
2025-12-05 15:11:32,2,168,313,93,170
2025-12-05 15:12:33,3,167,313,93,170
2025-12-05 15:13:33,4,166,313,93,170
2025-12-05 15:14:34,5,166,313,93,170
2025-12-05 15:15:34,6,165,313,93,170
2025-12-05 15:44:34,7,171,313,92,168
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-07 16:08:58,1,152,311,96,168
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-07 16:13:44,1,152,311,96,168
2025-12-07 16:14:47,2,152,311,98,168
2025-12-07 16:15:47,3,152,311,98,168
2025-12-07 16:16:48,4,151,310,98,167
2025-12-07 16:17:48,5,152,312,99,168
2025-12-07 16:18:48,6,151,311,99,168
2025-12-07 16:19:48,7,151,311,98,168
2025-12-07 16:20:48,8,151,311,98,168
2025-12-07 16:21:49,9,151,311,98,170
2025-12-07 16:22:49,10,150,312,96,167
2025-12-07 16:23:49,11,149,311,97,168
2025-12-07 16:24:49,12,149,311,97,168
2025-12-07 16:25:50,13,150,311,97,168
2025-12-07 16:26:50,14,150,311,97,168
2025-12-07 16:27:50,15,150,310,97,168
2025-12-07 16:28:50,16,150,309,96,167
2025-12-07 16:29:50,17,151,310,96,167
2025-12-07 16:30:51,18,150,310,96,167
2025-12-07 16:31:51,19,150,312,96,167
2025-12-07 16:32:51,20,149,311,96,167
2025-12-07 16:33:51,21,149,311,96,168
2025-12-07 16:34:52,22,150,311,96,168
2025-12-07 16:35:52,23,150,309,96,168
2025-12-07 16:36:52,24,151,310,97,168
2025-12-07 16:37:53,25,151,310,97,168
2025-12-07 16:38:53,26,151,310,97,168
2025-12-07 16:39:53,27,152,310,97,168
2025-12-07 16:40:54,28,152,309,95,168
2025-12-07 16:41:54,29,152,310,94,169
2025-12-07 16:42:54,30,153,311,93,167
2025-12-07 16:43:55,31,153,311,94,168
2025-12-07 16:44:55,32,153,311,94,168
2025-12-07 16:45:55,33,153,311,94,168
2025-12-07 16:46:55,34,154,310,94,168
2025-12-07 16:47:55,35,155,311,94,168
2025-12-07 16:48:56,36,155,311,94,168
2025-12-07 16:49:56,37,155,310,94,168
2025-12-07 16:50:56,38,156,311,94,168
2025-12-07 16:51:57,39,156,311,94,168
2025-12-07 16:52:57,40,156,310,94,168
2025-12-07 16:53:57,41,156,311,94,168
2025-12-07 16:54:57,42,156,311,94,168
2025-12-07 16:55:58,43,156,311,94,168
2025-12-07 16:56:58,44,156,311,94,168
2025-12-07 16:57:58,45,156,311,94,168
2025-12-07 16:58:59,46,156,311,94,168
2025-12-07 16:59:59,47,156,311,94,168
2025-12-07 17:01:01,48,156,311,94,168
2025-12-07 17:02:02,49,156,310,94,168
2025-12-07 17:33:53,50,154,310,91,168
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-07 17:34:45,1,154,310,91,168
timestamp,iteration,south_bikes,south_capacity,north_bikes,north_capacity
2025-12-07 17:34:48,1,154,310,91,168
2025-12-07 17:35:48,2,155,312,91,167
2025-12-07 17:36:49,3,154,311,92,168
2025-12-07 17:37:49,4,154,311,92,169
2025-12-07 17:38:49,5,154,312,91,168
2025-12-07 17:39:49,6,152,311,91,168
2025-12-07 17:40:50,7,152,312,91,168
2025-12-07 17:41:50,8,151,311,91,168
2025-12-07 17:42:50,9,151,311,91,168
2025-12-07 17:43:51,10,153,311,91,168
2025-12-07 17:44:51,11,153,311,91,168
2025-12-07 17:45:51,12,153,311,91,168
2025-12-07 17:46:52,13,153,311,91,168
2025-12-07 17:47:52,14,152,310,91,168
2025-12-07 17:48:52,15,152,311,91,168
2025-12-07 17:49:52,16,151,311,91,168
2025-12-07 17:50:52,17,150,309,91,168
2025-12-07 17:51:53,18,151,310,91,168
2025-12-07 17:52:53,19,151,309,91,168
2025-12-07 17:53:53,20,152,310,91,168
2025-12-07 17:54:53,21,152,310,91,168
2025-12-07 17:55:53,22,153,311,91,168
2025-12-07 17:56:54,23,152,310,91,168
2025-12-07 17:57:54,24,150,310,91,168
2025-12-07 17:58:54,25,150,310,91,168
2025-12-07 17:59:55,26,149,311,91,168
2025-12-07 18:00:55,27,149,312,91,169
2025-12-07 18:01:55,28,148,311,90,168
2025-12-07 18:02:56,29,148,311,90,168
2025-12-07 18:03:56,30,148,311,90,168
2025-12-07 18:04:56,31,148,311,90,168
2025-12-07 18:05:57,32,148,311,90,168
2025-12-07 18:06:57,33,147,311,91,168
2025-12-07 18:07:57,34,147,310,91,168
2025-12-07 18:08:57,35,148,311,91,168
2025-12-07 18:09:58,36,149,311,91,168
2025-12-07 18:10:58,37,149,311,91,168
2025-12-07 18:11:58,38,148,311,90,168
2025-12-07 18:12:58,39,148,310,90,168
2025-12-07 18:13:59,40,149,311,90,168
2025-12-07 18:14:59,41,148,311,90,169
2025-12-07 18:15:59,42,148,312,89,168
2025-12-07 18:16:59,43,148,311,89,168
2025-12-07 18:18:00,44,150,312,89,168
2025-12-07 18:19:00,45,150,311,89,168
2025-12-07 18:20:00,46,151,312,89,167
2025-12-07 18:21:01,47,151,312,90,168
2025-12-07 18:22:01,48,152,312,90,168
2025-12-07 18:23:01,49,153,312,90,168
2025-12-07 18:24:01,50,152,312,90,168
2025-12-07 18:25:02,51,152,312,90,168
2025-12-07 18:26:02,52,152,312,90,169
2025-12-07 18:27:02,53,152,312,89,168
2025-12-07 18:28:03,54,154,312,89,168
2025-12-07 18:29:03,55,154,312,89,168
2025-12-07 18:30:03,56,154,312,89,168
2025-12-07 18:31:03,57,154,312,89,168
2025-12-07 18:32:04,58,154,312,89,168
2025-12-07 18:33:04,59,154,312,89,168
2025-12-07 18:34:04,60,154,312,89,168
2025-12-07 18:35:04,61,154,311,89,168
2025-12-07 18:36:04,62,155,313,89,168
2025-12-07 18:37:05,63,154,312,89,168
2025-12-07 18:38:05,64,154,312,89,168
2025-12-07 18:39:05,65,154,312,89,168
2025-12-07 18:40:06,66,153,312,90,168
2025-12-07 18:41:06,67,152,311,90,168
2025-12-07 18:42:06,68,152,311,90,168
2025-12-07 18:43:07,69,152,311,90,168
2025-12-07 18:44:07,70,152,311,90,168
2025-12-07 18:45:07,71,153,312,90,168
2025-12-07 18:46:07,72,153,312,90,168
2025-12-07 18:47:07,73,153,312,90,168
2025-12-07 18:48:08,74,154,312,90,168
2025-12-07 18:49:08,75,153,312,90,168
2025-12-07 18:50:08,76,153,312,90,168
2025-12-07 18:51:08,77,154,311,90,167
2025-12-07 18:52:09,78,155,312,91,168
2025-12-07 18:53:09,79,155,312,91,168
2025-12-07 18:54:09,80,154,312,91,168
2025-12-07 18:55:10,81,153,312,91,168
2025-12-07 18:56:10,82,153,312,91,168
2025-12-07 18:57:10,83,154,312,91,168
2025-12-07 18:58:10,84,154,312,91,168
2025-12-07 18:59:11,85,154,312,91,168
2025-12-07 19:00:11,86,154,311,91,168
2025-12-07 19:01:11,87,155,312,91,168
2025-12-07 19:02:12,88,154,311,91,168
2025-12-07 19:03:12,89,154,311,91,168
2025-12-07 19:04:12,90,154,312,91,168
2025-12-07 19:05:13,91,154,311,91,168
2025-12-07 19:06:13,92,156,312,91,168
2025-12-07 19:07:13,93,157,312,91,168
2025-12-07 19:08:13,94,157,312,91,168
2025-12-07 19:09:14,95,157,312,91,168
2025-12-07 19:10:14,96,157,312,91,168
2025-12-07 19:11:14,97,157,312,91,168
2025-12-07 19:12:14,98,156,312,91,169
2025-12-07 19:13:15,99,156,312,90,168
2025-12-07 19:14:15,100,156,312,90,168
2025-12-07 19:15:16,101,157,312,90,168
2025-12-07 19:16:16,102,158,312,90,168
2025-12-07 19:17:16,103,158,312,90,168
2025-12-07 19:18:17,104,158,312,90,168
2025-12-07 19:19:17,105,157,312,90,168
2025-12-07 19:20:17,106,157,311,90,168
2025-12-07 19:21:18,107,157,312,90,168
2025-12-07 19:22:18,108,157,312,90,168
2025-12-07 19:23:18,109,157,312,90,168
2025-12-07 19:24:18,110,155,311,90,168
2025-12-07 19:25:19,111,153,311,90,168
2025-12-07 19:26:19,112,154,312,90,168
2025-12-07 19:27:19,113,154,312,90,168
2025-12-07 19:28:20,114,154,311,90,168
2025-12-07 19:29:20,115,155,312,90,168
2025-12-07 19:30:20,116,155,312,90,168
2025-12-07 19:31:21,117,154,311,90,168
2025-12-07 19:32:21,118,154,311,90,168
2025-12-07 19:33:21,119,155,311,90,168
2025-12-07 19:34:21,120,155,312,90,168
2025-12-07 19:35:22,121,156,312,90,168
2025-12-07 19:36:22,122,156,312,90,168
2025-12-07 19:37:22,123,155,312,90,168
2025-12-07 19:38:22,124,155,312,90,168
2025-12-07 19:39:23,125,155,312,90,168
2025-12-07 19:40:23,126,155,312,90,168
2025-12-07 19:41:23,127,156,312,90,168
2025-12-07 19:42:24,128,156,312,90,167
2025-12-07 19:43:24,129,156,312,91,168
2025-12-07 19:44:24,130,156,312,91,168
2025-12-07 19:45:24,131,156,311,91,168
2025-12-07 19:46:25,132,156,312,91,168
2025-12-07 19:47:25,133,156,312,91,168
2025-12-07 19:48:26,134,156,311,92,168
2025-12-07 19:49:26,135,157,312,92,168
2025-12-07 19:50:26,136,157,311,92,168
2025-12-07 19:51:27,137,158,312,91,167
2025-12-07 19:52:27,138,157,312,91,167
2025-12-07 19:53:27,139,157,312,91,167
2025-12-07 19:54:27,140,157,312,91,167
2025-12-07 19:55:28,141,156,312,91,167
2025-12-07 19:56:28,142,157,312,91,167
2025-12-07 19:57:28,143,157,312,91,167
2025-12-07 19:58:28,144,156,312,91,167
2025-12-07 19:59:29,145,156,312,91,167
2025-12-07 20:00:29,146,156,312,91,167
2025-12-07 20:01:29,147,156,312,91,167
2025-12-07 20:02:29,148,156,312,91,167
2025-12-07 20:03:30,149,156,312,91,167
2025-12-07 20:04:30,150,154,312,91,167
2025-12-07 20:05:30,151,154,312,91,167
2025-12-07 20:06:31,152,154,312,91,167
2025-12-07 20:07:31,153,154,312,91,167
2025-12-07 20:08:31,154,154,312,92,168
2025-12-07 20:09:32,155,154,312,92,168
2025-12-07 20:10:32,156,154,312,92,168
2025-12-07 20:11:32,157,154,312,92,168
2025-12-07 20:12:32,158,154,312,92,168
2025-12-07 20:13:33,159,154,312,92,168
2025-12-07 20:14:33,160,154,312,92,168
2025-12-07 20:15:33,161,154,312,92,168
2025-12-07 20:16:33,162,154,312,92,167
2025-12-07 20:17:34,163,154,312,93,168
2025-12-07 20:18:34,164,154,312,93,168
2025-12-07 20:19:34,165,154,312,93,168
2025-12-07 20:20:34,166,154,313,92,168
2025-12-07 20:21:35,167,153,312,92,168
2025-12-07 20:22:35,168,153,312,92,168
2025-12-07 20:23:35,169,153,312,92,168
2025-12-07 20:24:36,170,153,313,92,168
2025-12-07 20:25:36,171,152,312,92,168
2025-12-07 20:26:36,172,152,311,91,168
2025-12-07 20:27:36,173,153,312,90,168
2025-12-07 20:28:36,174,153,312,90,168
2025-12-07 20:29:37,175,153,312,90,168
2025-12-07 20:30:37,176,153,312,90,168
2025-12-07 20:31:37,177,154,312,90,168
2025-12-07 20:32:38,178,154,312,90,168
2025-12-07 20:33:38,179,154,312,90,168
2025-12-07 20:34:38,180,153,312,90,168
2025-12-07 20:35:38,181,153,312,90,168
2025-12-07 20:36:39,182,153,312,90,168
2025-12-07 20:37:39,183,153,312,90,168
2025-12-07 20:38:39,184,153,312,90,168
2025-12-07 20:39:39,185,152,312,90,168
2025-12-07 20:40:40,186,153,311,90,168
2025-12-07 20:41:40,187,155,312,90,168
2025-12-07 20:42:40,188,156,312,90,168
2025-12-07 20:43:40,189,156,312,90,168
2025-12-07 20:44:41,190,157,312,90,168
2025-12-07 20:45:41,191,157,313,90,168
2025-12-07 20:46:41,192,155,312,90,168
2025-12-07 20:47:41,193,155,311,90,168
2025-12-07 20:48:41,194,156,312,90,168
2025-12-07 20:49:42,195,156,312,90,168
2025-12-07 20:50:42,196,156,312,90,169
2025-12-07 20:51:42,197,157,312,90,167
2025-12-07 20:52:42,198,157,312,91,168
2025-12-07 20:53:43,199,157,312,91,168
2025-12-07 20:54:43,200,157,312,91,168
2025-12-07 20:55:43,201,157,313,91,168
2025-12-07 20:56:43,202,156,312,91,168
2025-12-07 20:57:43,203,157,312,91,168
2025-12-07 20:58:44,204,157,312,91,168
2025-12-07 20:59:44,205,157,312,91,168
